statefips,date,employment,spend_all,covid_severity,is_red_state,StayAtHome_Active,BizClosure_Active,SchoolClosure_Active,Red_State_Policy_Interaction
50,2020-04-05,-0.309,-0.2547142857142857,34.08571428571428,0.0,1,1,0,0.0
51,2020-04-05,-0.147,-0.298,14.681428571428572,0.0,1,1,0,0.0
53,2020-04-05,-0.206,-0.386,40.82857142857143,0.0,1,1,0,0.0
54,2020-04-05,-0.217,-0.23414285714285715,8.36,1.0,1,1,0,1.0
55,2020-04-05,-0.161,-0.33314285714285713,16.757142857142856,0.0,1,1,0,0.0
56,2020-04-05,-0.183,-0.2644285714285714,16.0,1.0,0,0,0,0.0
1,2020-04-12,-0.198,-0.26185714285714284,29.285714285714285,1.0,1,1,0,1.0
2,2020-04-12,-0.305,-0.331,11.26142857142857,1.0,1,1,0,1.0
4,2020-04-12,-0.178,-0.3008571428571428,18.242857142857144,0.0,1,0,0,0.0
5,2020-04-12,-0.187,-0.295,14.871428571428572,1.0,0,0,0,0.0
6,2020-04-12,-0.231,-0.36214285714285716,22.285714285714285,0.0,1,1,0,0.0
8,2020-04-12,-0.196,-0.3268571428571429,41.614285714285714,0.0,1,1,0,0.0
9,2020-04-12,-0.241,-0.3495714285714286,154.0,0.0,1,1,0,0.0
10,2020-04-12,-0.208,-0.31428571428571433,79.31428571428572,0.0,1,1,0,0.0
12,2020-04-12,-0.197,-0.3122857142857143,36.128571428571426,1.0,1,0,0,1.0
13,2020-04-12,-0.218,-0.28814285714285715,50.58571428571429,0.0,1,0,0,0.0
15,2020-04-12,-0.357,-0.26142857142857145,11.167142857142858,0.0,1,1,0,0.0
16,2020-04-12,-0.159,-0.25457142857142856,28.857142857142858,1.0,1,1,0,1.0
17,2020-04-12,-0.185,-0.28485714285714286,66.47142857142858,0.0,1,1,0,0.0
18,2020-04-12,-0.21,-0.3284285714285714,50.699999999999996,1.0,1,1,0,1.0
19,2020-04-12,-0.257,-0.326,20.157142857142855,1.0,0,1,0,0.0
20,2020-04-12,-0.17,-0.27799999999999997,18.542857142857144,1.0,1,0,0,1.0
21,2020-04-12,-0.208,-0.24114285714285713,17.8,1.0,1,1,0,1.0
22,2020-04-12,-0.247,-0.24828571428571428,201.85714285714286,1.0,1,1,0,1.0
23,2020-04-12,-0.262,-0.16242857142857142,13.771428571428572,0.0,1,1,0,0.0
24,2020-04-12,-0.198,-0.339,61.74285714285714,0.0,1,1,0,0.0
25,2020-04-12,-0.295,-0.3127142857142857,145.71428571428572,0.0,1,1,0,0.0
26,2020-04-12,-0.345,-0.28214285714285714,102.57142857142857,0.0,1,1,0,0.0
27,2020-04-12,-0.232,-0.3385714285714286,9.148571428571428,0.0,1,0,0,0.0
28,2020-04-12,-0.153,-0.21185714285714288,35.142857142857146,1.0,1,1,0,1.0
29,2020-04-12,-0.174,-0.2957142857142857,28.0,1.0,1,0,0,1.0
30,2020-04-12,-0.235,-0.38342857142857145,10.392857142857142,1.0,1,1,0,1.0
31,2020-04-12,-0.115,-0.26885714285714285,17.3,1.0,0,0,0,0.0
32,2020-04-12,-0.292,-0.3538571428571428,32.22857142857143,0.0,1,1,0,0.0
33,2020-04-12,-0.294,-0.2282857142857143,25.87142857142857,0.0,1,1,0,0.0
34,2020-04-12,-0.28,-0.2901428571428571,279.7142857142857,0.0,1,1,0,0.0
35,2020-04-12,-0.214,-0.32071428571428573,25.985714285714288,0.0,1,1,0,0.0
36,2020-04-12,-0.324,-0.31157142857142855,345.57142857142856,0.0,1,1,0,0.0
37,2020-04-12,-0.229,-0.30014285714285716,17.071428571428573,1.0,1,1,0,1.0
38,2020-04-12,-0.226,-0.2374285714285714,14.12857142857143,1.0,0,0,0,0.0
39,2020-04-12,-0.256,-0.2672857142857143,21.942857142857143,1.0,1,1,0,1.0
40,2020-04-12,-0.159,-0.2631428571428572,20.17142857142857,1.0,0,1,0,0.0
41,2020-04-12,-0.256,-0.3442857142857143,11.471428571428572,0.0,1,0,0,0.0
42,2020-04-12,-0.272,-0.2684285714285714,83.94285714285715,0.0,0,1,0,0.0
44,2020-04-12,-0.348,-0.42128571428571426,107.41428571428571,0.0,1,0,0,0.0
45,2020-04-12,-0.226,-0.23085714285714287,25.157142857142855,1.0,1,0,0,1.0
46,2020-04-12,-0.136,-0.32557142857142857,35.528571428571425,1.0,0,0,0,0.0
47,2020-04-12,-0.182,-0.20014285714285715,25.585714285714285,1.0,1,1,0,1.0
48,2020-04-12,-0.202,-0.2957142857142857,20.8,1.0,1,0,0,1.0
49,2020-04-12,-0.17,-0.2817142857142857,25.771428571428572,1.0,0,0,0,0.0
50,2020-04-12,-0.35,-0.18728571428571428,43.471428571428575,0.0,1,1,0,0.0
51,2020-04-12,-0.177,-0.2914285714285714,27.157142857142855,0.0,1,1,0,0.0
53,2020-04-12,-0.258,-0.3732857142857143,39.785714285714285,0.0,1,1,0,0.0
54,2020-04-12,-0.261,-0.20857142857142857,15.542857142857143,1.0,1,1,0,1.0
55,2020-04-12,-0.191,-0.29314285714285715,19.82857142857143,0.0,1,1,0,0.0
56,2020-04-12,-0.222,-0.25085714285714283,22.914285714285715,1.0,0,0,0,0.0
1,2020-04-19,-0.208,-0.29057142857142854,32.642857142857146,1.0,1,1,0,1.0
2,2020-04-19,-0.345,-0.2951428571428571,8.93,1.0,1,1,0,1.0
4,2020-04-19,-0.19,-0.30528571428571427,17.728571428571428,0.0,1,0,0,0.0
5,2020-04-19,-0.189,-0.21814285714285714,16.985714285714288,1.0,0,0,0,0.0
6,2020-04-19,-0.239,-0.37757142857142856,20.557142857142857,0.0,1,1,0,0.0
8,2020-04-19,-0.198,-0.32957142857142857,43.728571428571435,0.0,1,1,0,0.0
9,2020-04-19,-0.241,-0.35285714285714287,172.28571428571428,0.0,1,1,0,0.0
10,2020-04-19,-0.214,-0.334,98.27142857142857,0.0,1,1,0,0.0
12,2020-04-19,-0.203,-0.309,31.485714285714288,1.0,1,0,0,1.0
13,2020-04-19,-0.228,-0.2797142857142857,46.457142857142856,0.0,1,0,0,0.0
15,2020-04-19,-0.36,-0.2247142857142857,6.567142857142857,0.0,1,1,0,0.0
16,2020-04-19,-0.162,-0.24300000000000002,15.442857142857141,1.0,1,1,0,1.0
17,2020-04-19,-0.187,-0.24585714285714286,76.05714285714285,0.0,1,1,0,0.0
