date,STATEFIP,COUNTYFIP,emp_incq1,Policy_DiD,covid_severity
2020-02-01,37,37019,0.0024525,0,0.0
2020-02-01,37,37021,-0.0507,0,0.0
2020-02-01,37,37023,0.065025,0,0.0
2020-02-01,37,37025,-0.0027140000000000003,0,0.0
2020-02-01,37,37031,0.0325,0,0.0
2020-02-01,37,37035,-0.02385,0,0.0
2020-02-01,37,37037,0.030824999999999998,0,0.0
2020-02-01,37,37045,-0.0069250000000000015,0,0.0
2020-02-01,37,37047,-0.01963,0,0.0
2020-02-01,37,37049,-0.10395,0,0.0
2020-02-01,37,37051,-0.009605,0,0.0
2020-02-01,37,37057,-0.0049525,0,0.0
2020-02-01,37,37063,0.018303,0,0.0
2020-02-01,37,37067,0.03318,0,0.0
2020-02-01,37,37069,0.051699999999999996,0,0.0
2020-02-01,37,37071,-0.0102925,0,0.0
2020-02-01,37,37081,-0.034534999999999996,0,0.0
2020-02-01,37,37083,-0.009275,0,0.0
2020-02-01,37,37085,-0.019799999999999998,0,0.0
2020-02-01,37,37087,0.038625,0,0.0
2020-02-01,37,37089,0.0673775,0,0.0
2020-02-01,37,37093,-0.133,0,0.0
2020-02-01,37,37097,0.028499999999999998,0,0.0
2020-02-01,37,37099,0.041705,0,0.0
2020-02-01,37,37105,-0.030525,0,0.0
2020-02-01,37,37119,0.019075,0,0.0
2020-02-01,37,37125,-0.2546,0,0.0
2020-02-01,37,37127,0.082275,0,0.0
2020-02-01,37,37129,0.04045,0,0.0
2020-02-01,37,37133,-0.054575,0,0.0
2020-02-01,37,37135,0.05615,0,0.0
2020-02-01,37,37141,-0.005495,0,0.0
2020-02-01,37,37151,-0.0020825,0,0.0
2020-02-01,37,37155,0.042725,0,0.0
2020-02-01,37,37157,-0.04595,0,0.0
2020-02-01,37,37159,-0.034623,0,0.0
2020-02-01,37,37161,0.00905,0,0.0
2020-02-01,37,37179,-0.0349,0,0.0
2020-02-01,37,37183,-0.043575,0,0.0
2020-02-01,37,37189,0.0077350000000000006,0,0.0
2020-02-01,37,37191,-0.23775000000000002,0,0.0
2020-02-01,37,37193,0.0025825000000000006,0,0.0
2020-02-01,41,41003,0.031025,0,0.0
2020-02-01,41,41005,-0.08637500000000001,0,0.0
2020-02-01,41,41007,-0.02795,0,0.0
2020-02-01,41,41017,-0.023375,0,0.0
2020-02-01,41,41039,0.030625,0,0.0
2020-02-01,41,41047,-0.03875,0,0.0
2020-02-01,41,41051,-0.04015,0,0.0
2020-02-01,41,41067,-0.04335,0,0.0
2020-02-01,41,41071,-0.051000000000000004,0,0.0
2020-02-01,48,48021,-0.02555,0,0.0
2020-02-01,48,48027,-0.08422500000000001,0,0.0
2020-02-01,48,48029,-0.004035,0,0.0
2020-02-01,48,48039,0.0168675,0,0.0
2020-02-01,48,48041,0.0069175,0,0.0
2020-02-01,48,48059,-0.02665,0,0.0
2020-02-01,48,48061,0.0830175,0,0.0
2020-02-01,48,48085,0.0024150000000000005,0,0.0
2020-02-01,48,48091,-0.02454,0,0.0
2020-02-01,48,48113,0.0026125000000000002,0,0.0
2020-02-01,48,48121,-0.0019424999999999998,0,0.0
2020-02-01,48,48135,-0.0080075,0,0.0
2020-02-01,48,48139,0.09085,0,0.0
2020-02-01,48,48141,0.0020375000000000002,0,0.0
2020-02-01,48,48157,-0.020125,0,0.0
2020-02-01,48,48167,-0.034,0,0.0
2020-02-01,48,48183,-0.0295,0,0.0
2020-02-01,48,48187,0.007350000000000001,0,0.0
2020-02-01,48,48189,-0.0566,0,0.0
2020-02-01,48,48201,-0.004465,0,0.0
2020-02-01,48,48209,0.0567,0,0.0
2020-02-01,48,48215,0.00685325,0,0.0
2020-02-01,48,48227,0.07289999999999999,0,0.0
2020-02-01,48,48231,0.1535,0,0.0
2020-02-01,48,48245,0.018735,0,0.0
2020-02-01,48,48251,-0.0766,0,0.0
2020-02-01,48,48253,0.14975,0,0.0
2020-02-01,48,48265,-0.04915,0,0.0
2020-02-01,48,48303,0.034,0,0.0
2020-02-01,48,48309,-0.123,0,0.0
2020-02-01,48,48329,-0.023274999999999997,0,0.0
2020-02-01,48,48339,-0.017325,0,0.0
2020-02-01,48,48355,0.0702,0,0.0
2020-02-01,48,48367,-0.075875,0,0.0
2020-02-01,48,48397,-0.061325000000000005,0,0.0
2020-02-01,48,48423,0.0047575,0,0.0
2020-02-01,48,48439,-0.0058025,0,0.0
2020-02-01,48,48441,-0.06787750000000001,0,0.0
2020-02-01,48,48451,0.0011250000000000001,0,0.0
2020-02-01,48,48453,0.00024249999999999966,0,0.0
2020-02-01,48,48469,0.0203275,0,0.0
2020-02-01,48,48471,1.7499999999999937e-05,0,0.0
2020-02-01,48,48479,0.052425,0,0.0
2020-02-01,48,48491,-0.02666,0,0.0
2020-02-01,53,53011,-0.107375,0,0.0
2020-02-01,53,53033,-0.120475,0,0.0
2020-02-01,53,53053,-0.1935,0,0.0
2020-02-01,53,53061,-0.21475,0,0.0
2020-02-01,54,54011,-0.040825,0,0.0
2020-02-01,54,54039,-0.003974999999999999,0,0.0
2020-02-01,54,54061,-0.2835,0,0.0
2020-02-01,54,54069,0.0370425,0,0.0
2020-02-01,54,54099,-0.06115,0,0.0
2020-02-01,54,54107,0.009912500000000001,0,0.0
2020-03-01,1,1015,-0.736,0,5.0
2020-03-01,1,1073,-0.08609249999999999,0,5.0
2020-03-01,1,1077,-0.17015,0,5.0
2020-03-01,1,1089,-0.061575,0,5.0
2020-03-01,1,1097,0.072125,0,5.0
2020-03-01,1,1101,0.0496,0,5.0
2020-03-01,1,1103,-0.06865,0,5.0
2020-03-01,1,1113,-0.097225,0,5.0
2020-03-01,1,1115,-0.0136475,0,5.0
2020-03-01,1,1117,-0.105175,0,5.0
2020-03-01,1,1125,0.1174525,0,5.0
2020-03-01,2,2020,0.239,0,2.888888888888889
2020-03-01,4,4001,-0.008310499999999998,0,3.1333333333333333
2020-03-01,4,4003,-0.0235075,0,3.1333333333333333
2020-03-01,4,4005,-0.12865,0,3.1333333333333333
2020-03-01,4,4013,-0.07372500000000001,0,3.1333333333333333
2020-03-01,4,4015,0.0048725,0,3.1333333333333333
2020-03-01,4,4019,-0.059372499999999995,0,3.1333333333333333
2020-03-01,4,4021,-0.01897,0,3.1333333333333333
2020-03-01,4,4025,-0.0647775,0,3.1333333333333333
2020-03-01,4,4027,-0.113675,0,3.1333333333333333
2020-03-01,5,5005,-0.7224999999999999,0,11.380952380952381
2020-03-01,5,5007,-0.114775,0,11.380952380952381
2020-03-01,5,5031,-0.11145,0,11.380952380952381
2020-03-01,5,5045,0.102475,0,11.380952380952381
2020-03-01,5,5051,-0.0942,0,11.380952380952381
2020-03-01,5,5069,-0.125975,0,11.380952380952381
2020-03-01,5,5085,0.18525,0,11.380952380952381
2020-03-01,5,5113,0.059875,0,11.380952380952381
2020-03-01,5,5115,0.050298999999999996,0,11.380952380952381
2020-03-01,5,5119,-0.08735000000000001,0,11.380952380952381
2020-03-01,5,5143,-0.19824999999999998,0,11.380952380952381
2020-03-01,5,5145,0.050375,0,11.380952380952381
2020-03-01,5,5147,0.061649999999999996,0,11.380952380952381
2020-03-01,6,6001,-0.138575,0,29.64516129032258
2020-03-01,6,6013,-0.135125,0,29.64516129032258
2020-03-01,6,6017,-0.1649,0,29.64516129032258
2020-03-01,6,6019,-0.1182,0,29.64516129032258
2020-03-01,6,6029,-0.151275,0,29.64516129032258
2020-03-01,6,6037,-0.133575,0,29.64516129032258
2020-03-01,6,6039,-0.14579999999999999,0,29.64516129032258
2020-03-01,6,6041,-0.091445,0,29.64516129032258
2020-03-01,6,6053,-0.151775,0,29.64516129032258
